"Timestamp","Name","Sensor value"
"08/13/2019 - 15:56","base_humid","79.5528"
"08/13/2019 - 15:57","base_pressure","1009.01"
"08/13/2019 - 15:57","base_altitutde","35.5227"
"08/13/2019 - 15:57","temp","31.61"
"08/13/2019 - 15:57","pressure","1032.29"
"08/13/2019 - 15:57","depth","0.20"
"08/13/2019 - 15:57","base_temp","25.1172"
"08/13/2019 - 15:57","batt","3.59004"
"08/13/2019 - 15:57","height","0.226645"
"08/13/2019 - 15:57","base_humid","79.9771"
"08/13/2019 - 15:59","base_pressure","1008.99"
"08/13/2019 - 15:59","base_altitutde","35.7658"
"08/13/2019 - 15:59","temp","31.70"
"08/13/2019 - 15:59","pressure","1032.24"
"08/13/2019 - 15:59","depth","0.20"
"08/13/2019 - 15:59","base_temp","25.1172"
"08/13/2019 - 15:59","batt","3.51592"
"08/13/2019 - 15:59","height","0.226419"
"08/13/2019 - 15:59","base_humid","78.6696"
"08/13/2019 - 16:01","base_pressure","1008.97"
"08/13/2019 - 16:01","base_altitutde","35.5439"
"08/13/2019 - 16:01","temp","31.74"
"08/13/2019 - 16:01","pressure","1032.25"
"08/13/2019 - 16:01","depth","0.20"
"08/13/2019 - 16:01","base_temp","25.1223"
"08/13/2019 - 16:01","batt","3.59971"
"08/13/2019 - 16:01","height","0.226659"
"08/13/2019 - 16:01","base_humid","78.6704"
"08/13/2019 - 16:02","base_pressure","1008.98"
"08/13/2019 - 16:02","base_altitutde","35.3536"
"08/13/2019 - 16:02","temp","31.77"
"08/13/2019 - 16:02","pressure","1032.23"
"08/13/2019 - 16:02","depth","0.20"
"08/13/2019 - 16:02","base_temp","25.1121"
"08/13/2019 - 16:02","batt","3.51914"
"08/13/2019 - 16:02","height","0.226365"
"08/13/2019 - 16:02","base_humid","78.4269"
"08/13/2019 - 16:04","base_pressure","1008.98"
"08/13/2019 - 16:04","base_altitutde","35.6707"
"08/13/2019 - 16:04","temp","31.78"
"08/13/2019 - 16:04","pressure","1032.18"
"08/13/2019 - 16:04","depth","0.20"
"08/13/2019 - 16:04","base_temp","25.102"
"08/13/2019 - 16:04","batt","3.51914"
"08/13/2019 - 16:04","height","0.225915"
"08/13/2019 - 16:04","base_humid","78.489"
"08/13/2019 - 16:05","base_pressure","1008.99"
"08/13/2019 - 16:05","base_altitutde","35.6073"
"08/13/2019 - 16:05","temp","31.78"
"08/13/2019 - 16:05","pressure","1032.08"
"08/13/2019 - 16:05","depth","0.20"
"08/13/2019 - 16:05","base_temp","25.102"
"08/13/2019 - 16:05","batt","3.60615"
"08/13/2019 - 16:05","height","0.224834"
"08/13/2019 - 16:05","base_humid","78.0932"
"08/13/2019 - 16:07","base_pressure","1009.01"
"08/13/2019 - 16:07","base_altitutde","35.5333"
"08/13/2019 - 16:07","temp","31.78"
"08/13/2019 - 16:07","pressure","1032.12"
"08/13/2019 - 16:07","depth","0.20"
"08/13/2019 - 16:07","base_temp","25.107"
"08/13/2019 - 16:07","batt","3.60615"
"08/13/2019 - 16:07","height","0.225029"
"08/13/2019 - 16:07","base_humid","78.3792"
"08/13/2019 - 16:08","base_pressure","1008.97"
